imageName,title,author,mainPeople,profile,detail
music_library_11,窦娥冤,元代关汉卿所作,主要人物：窦娥,简介：1958年江苏省苏昆剧团为纪念关汉卿戏剧创作七百年，整理关氏原作，首演于南京，是今人用昆曲谱唱元人北曲杂剧原本的剧目。,详情：窦娥幼年因家贫给蔡婆婆家做童养媳，十七岁成婚，新婚一年后夫亡守寡，婆媳相依为命。一日蔡婆出门索债，被赛卢医骗至城外，企图谋财害命。恰逢张驴儿父子经过将其救下。张驴儿父子借此占住蔡家，并威逼蔡家婆媳与他父子成婚，窦娥坚决拒绝。张驴儿阴谋害死蔡婆，反而毒死了张父，他转而诬陷窦娥，将窦娥告到官府。太守逃受贿，严刑逼讯窦娥后，又是欲行刑于蔡婆婆，窦娥不忍心婆婆受刑，便含冤招供，被判处斩刑。临斩之时，窦娥仰天发下三桩誓愿：一在刀过头落地后，一腔颈血飞洒丈二白练之上；二要六月降雪，掩埋她的尸体；三要当地大旱三年，颗粒不收。窦娥死后，她的誓愿一一应验。窦娥之父窦天章受朝廷委派，任两淮提刑肃政廉访使来至楚州，窦娥的冤魂向其父诉说怨情，窦天章终于为女儿申冤昭雪。"
music_library_12,风云会,明末清初李玉所作,主要人物：郑恩,简介：共二十七出。,详情：郑恩追随赵匡胤，如云之从龙，风之从虎。郑恩自幼习武，闯荡江湖，曾在北岳恒山打擂台，得到赵信的赏识。赵信把女儿金娘（京娘，巴黎本误抄为金娘）许配给他，约定日后完婚。当时赵匡胤在京师，与八位结义兄弟舞枪弄棒，专打不平。郑恩遇上了赵匡胤，意气相投，遂结金兰之好。有一次，他俩到五凤楼前御勾栏游玩，与当朝太师的公子苏省文发生冲突。赵匡胤夜闯御勾栏，救出歌女韩素梅，托郑恩送往别处安顿。为躲避官府的追捕，赵匡胤逃往关西，有一天投宿青牛观中，忽听得观中有女子啼哭之声。经盘问，才知是被两个强盗抢来的赵京娘。赵匡胤当即救岀京娘，结为兄妹，并让京娘骑马，自己步行，护送她回家。另一方，郑恩带韩素梅到苏州乡下，以叔嫂相称，打柴谋生。不料木铃关守将韩通见素梅美貌，竟强行劫持。郑恩大怒，追杀韩通，将素梅寄放在尼庵内，自己决定去寻找赵匡胤。行至汾州地界，正好碰上赵匡胤力战董家五虎。两人合力，为民除暴。周世宗柴荣与赵匡胤有旧，接位后命书记赵普把赵匡胤找来，授以枢密重任。赵普在客栈中找到赵匡胤和郑恩，彼此畅叙，方知匡胤的义妹京娘就是赵普的亲妹妹，亦即郑恩的未婚妻。于是同回京城，受世宗之命，统兵征讨南唐。大军行至陈桥，忽报世宗驾崩，少主继位。郑恩等推举赵匡胤为帝，黄袍加身，改国号为宋。不久，赵匡胤统一全国，定都汴梁，遣人迎取家眷，封赵素梅为贵妃。京娘也与郑恩完婚。共享太平之福。
music_library_13,凤凰山,明朝无名所作,主要人物：邹化,简介：原本失传，明清戏曲选本中存有散出，有折子戏留存。，讲述的是元朝时安西王谋逆，江花右、江六云姐弟潜作内应，内乱平定后，百花公主与江六云联姻。,详情：元仁宗时，左丞相铁木迭儿提议科举选才。邹化与妻弟江六云相约赴京赶考，邹化妻江氏途中被安西王阿难答府误认为细作擒获，后因其聪慧被百花公主留作侍女，改名花右。邹化误以为妻被岳父另嫁，双方告官，邹化反被罚充军，后被铁木迭儿赏识，升为侍卫指挥使。江六云高中进士，任浙江道御史，受命探查安西王谋反之事。他化名海俊潜入王府，遭近侍八喇陷害，幸得百花公主相救并私定终身。安西王起兵叛乱，封百花为大将，海俊也被封为护军使，花右为先锋将。海俊与邹化里应外合，击败安西王军，活捉安西王，百花遁入空门。海俊得百花消息，迎其还俗，二人成婚。邹化与花右也重聚。邹化因功升为三边总督，海俊（六云）则为兵部侍郎。朝廷赦免安西王父女，故事圆满结束。
music_library_14,邯郸梦,明朝汤显祖所作,主要人物：卢生,简介：讲述的是吕洞宾度卢生而使其经历荣辱梦幻的故事，共三十出。,详情：山东卢生醉心功名，偶遇仙人吕洞宾，获赠磁枕入梦。梦中，卢生经历宦海浮沉：娶富女、中状元、得罪权贵、贬官、建功立业、遭陷害、免死流放、沉冤得雪、位极人臣、享尽荣华，终因过度享乐而病亡。梦醒时，店中的黄粱饭未熟。经吕洞宾点化，卢生顿悟人生，随仙翁去蓬莱扫落花。
music_library_15,红梨记,明朝徐复祚所作,主要人物：赵汝州,简介：讲述的是北宋书生赵汝州与歌妓谢素秋的恋爱故事，原本共三十出。,详情：北宋末年，山东解元赵汝州来到汴京会试。他几次拜访教坊女乐 谢素秋都没见着。这天，谢素秋却派人送来新诗一首，邀其次日前往。汝州当即答诗一首，接受邀请。怎知太傅王黼垂涎素秋美色，借机将素秋囚于府中。汝州如约前去谢家，最后只得惆怅而返。后金兵来犯，皇帝派王黼到金营求和，金相向他索取几百名妓，王黼连声答应，想趁机把素秋送与金人。看管素秋的花婆仗义把素秋带离汴京，因此王黼找不到素秋，只好将另一歌妓假冒素秋之名，与其余的一百二十名歌妓 一起送往金营。赵汝州亲至王府寻访素秋，里面已寂无一人。其时汴京已乱，汝州只好到雍丘寻访故友钱济之。济之是雍丘县令，他从难民名册上发现了王黼的名字，便将其软禁;又发现谢素秋亦在雍丘，就想帮助挚友成就此段姻缘。经过一番周折之后，汝州与素秋以红梨花作花烛，结成鸾俦。后金兵撤退，朝廷重开选场，钱济之为汝州前程计，催促其前去应试。此时汝州贪图安逸，无意功名，不肯动身。济之只得与花婆商议，定下一计。一日，汝州在花园内遇见花婆，并把素秋送给他的红梨花拿给她观看。不料花婆一见便连呼“有鬼”，说花园主人的女儿害相思病而死，阴魂不散，在她坟上长的就是红梨树，并说自己的儿子就是被她缠死的。汝州听罢大惊，便想速离此地，当日就启程赴考。至京考中状元，赴任途经雍丘，他去拜会钱济之。济之与花婆等人向他说明真情。真相大白，赵汝州便与素秋重偕花烛庆团圆。
music_library_16,红楼梦,曹雪芹所作,主要人物：贾宝玉、林黛玉,简介：全剧分为上下两本，总历时5个小时。,详情：以贾宝玉入世和出世为主线，王熙凤的个人命运为副线，两线并行展示了荣国府从兴盛到衰败的景象。上本从宝玉出世开始，到建大观园止；下本从太虚幻境到宝玉出世，将贾家兴衰、众儿女命运、宝黛爱情幻灭交织聚合，巧妙地揉配文学与戏曲艺术，以精练谆美的古文诗词、雅朴隽永的昆剧曲牌，与精致巧妙的现代舞台科技，呈现出无与伦比的二十一世纪红楼梦艺术。
















